,,c0,c0,c0,c0,c0,h0,h0,h0,h0,h0,h1,h1,h1,h1,h1,h2,h2,h2,h2,h2,op,op,op,op,op,all,all,all,all,all
error_type,,-1,0,1,2,3,-1,0,1,2,3,-1,0,1,2,3,-1,0,1,2,3,-1,0,1,2,3,-1,0,1,2,3
model_seed,error_profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1023,LIM_99-2188,0.1638,0.9922,0.1872,0.9922,0.9911,0.949,0.9896,0.9531,0.9911,0.9888,0.9865,0.9922,0.988,0.9883,0.9891,0.5156,0.9891,0.5096,0.9878,0.988,0.8406,0.9922,0.8393,0.9737,0.9721,0.1135,0.9862,0.1107,0.9607,0.9557
1023,LIM_99-3987,0.1862,0.9922,0.1747,0.9922,0.9914,0.9424,0.9891,0.9518,0.9885,0.9898,0.9888,0.9883,0.9891,0.9891,0.9888,0.5398,0.9885,0.5299,0.9872,0.9878,0.8461,0.9919,0.8299,0.9685,0.9664,0.1083,0.9846,0.1086,0.9589,0.9513
1023,LIM_99-4981,0.1839,0.9917,0.1607,0.9922,0.9922,0.9451,0.9893,0.9513,0.9901,0.9885,0.9865,0.9898,0.9867,0.9878,0.988,0.4562,0.9888,0.4549,0.987,0.9888,0.8565,0.9922,0.8625,0.9786,0.9818,0.1135,0.9865,0.1107,0.9677,0.9693
1023,LIM_99-6404,0.1813,0.9919,0.1703,0.9914,0.9922,0.9414,0.9901,0.9513,0.9888,0.9906,0.987,0.9883,0.9867,0.9883,0.9888,0.4594,0.9896,0.4721,0.988,0.9865,0.8284,0.9917,0.8388,0.9654,0.9656,0.1112,0.9844,0.1112,0.9552,0.9534
1023,LIM_99-9387,0.1672,0.9917,0.1802,0.9914,0.9919,0.9471,0.9891,0.951,0.9896,0.9898,0.9854,0.9883,0.987,0.9896,0.9888,0.4724,0.9883,0.4771,0.9857,0.9857,0.8339,0.9914,0.824,0.9784,0.9729,0.1122,0.9849,0.1096,0.9625,0.9573
2920,LIM_01-2188,0.8763,0.9891,0.9039,0.9891,0.9891,0.9906,0.9891,0.9896,0.9891,0.9888,0.9893,0.9891,0.9896,0.9885,0.9891,0.9807,0.9891,0.9823,0.9891,0.9891,0.9883,0.9891,0.9872,0.9888,0.9891,0.8643,0.9891,0.8982,0.9888,0.9888
2920,LIM_01-3987,0.9305,0.9891,0.9266,0.9888,0.9891,0.9893,0.9893,0.9901,0.9893,0.9891,0.9901,0.9891,0.9888,0.9891,0.9891,0.9823,0.9893,0.9815,0.9896,0.9893,0.9885,0.9891,0.9883,0.9888,0.9888,0.9214,0.9896,0.9151,0.9891,0.9891
2920,LIM_01-4981,0.9185,0.9891,0.9477,0.9891,0.9891,0.9898,0.9888,0.9893,0.9891,0.9885,0.9888,0.9891,0.9891,0.9888,0.9891,0.9823,0.9885,0.982,0.9891,0.9893,0.9888,0.9891,0.9885,0.9891,0.9891,0.9141,0.9891,0.9401,0.9888,0.9893
2920,LIM_01-6404,0.913,0.9891,0.938,0.9893,0.9891,0.9906,0.9888,0.9896,0.9891,0.9893,0.9898,0.9896,0.9891,0.9888,0.9893,0.982,0.9893,0.9818,0.9888,0.9891,0.9885,0.9891,0.9883,0.9883,0.9891,0.9091,0.9898,0.9302,0.988,0.9896
2920,LIM_01-9387,0.8526,0.9891,0.899,0.9891,0.9891,0.9891,0.9888,0.9898,0.9888,0.9891,0.9891,0.9891,0.9891,0.9893,0.9901,0.9826,0.9891,0.9823,0.9891,0.9888,0.9883,0.9891,0.9883,0.9888,0.9891,0.8409,0.9888,0.894,0.9888,0.9896
2920,LIM_02-2188,0.8133,0.9891,0.8466,0.9891,0.9891,0.9885,0.9893,0.9904,0.9891,0.9893,0.9904,0.9893,0.9893,0.9891,0.9891,0.9786,0.9893,0.9755,0.9891,0.9901,0.9872,0.9891,0.987,0.9885,0.9891,0.7901,0.9898,0.8307,0.9883,0.9893
2920,LIM_02-3987,0.8424,0.9893,0.8862,0.9888,0.9891,0.9904,0.9893,0.9891,0.9883,0.9891,0.9896,0.9901,0.9896,0.9891,0.9893,0.9776,0.9893,0.9776,0.9893,0.9891,0.987,0.9891,0.988,0.9888,0.9891,0.8232,0.9904,0.869,0.9891,0.9898
2920,LIM_02-4981,0.8552,0.9891,0.8438,0.9893,0.9891,0.9891,0.9883,0.9893,0.9893,0.9888,0.9888,0.9891,0.9891,0.9891,0.9891,0.9745,0.9893,0.9734,0.9883,0.9891,0.9875,0.9891,0.9878,0.9891,0.9888,0.8372,0.9885,0.8349,0.9885,0.9891
